"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"nunca";0,00601850217353102;0,3753175512404;-0,0759574243246248;0,0157151753464611;0,98000814127593;-0,198335766559456;0,000300391464363972;0,971461778344147;0,02823783019149;7,03445351531829e-08;0,000273559164664346;1,12045386730688e-05;0,00194201920624079;0,177118476667787;6,09229966952736e-05
"momento";-0,708415290059195;0,106080095070448;-0,120770373388549;-0,975210141554905;0,146030705408921;-0,166253459772225;0,965437887324556;0,0180025286874615;0,0165595839879888;0,000997319946843819;2,23628140902752e-05;2,89854115340379e-05;0,00198727812842013;0,367743493754429;0,000268750108567839
"cambiar";0,87530643111678;-0,0679700666293602;0,25342216289909;0,95789040478477;-0,0743829501558401;0,27733219998295;0,948329894921756;0,0047554521851615;0,0469146528930876;0,00136811148994761;8,24967126222302e-06;0,00011468072714395;0,00178567020234853;0,458458088497929;0,000375318982441933
"gustar";-0,247177186282474;1,03291697494417;0,341880087977424;-0,221534741432588;0,925760983070999;0,306413055468943;0,0600557080613404;0,872138739942872;0,067805551995794;0,0001128689880801;0,00197100938600259;0,000215926267272029;0,00184738691441126;0,514458656177103;0,000488943662117798
"lado";-0,428079746576208;0,339271475525602;0,136190600710253;-0,760431224002537;0,602674210743468;0,241925916897593;0,63207704025606;0,330166171622603;0,037756788121356;0,000348339608453061;0,000218800440890438;3,5257195886707e-05;0,0019008747315323;0,274636916204783;0,000143374304917681
"nuevo";0,549780355456273;0,115724439545171;-0,389259918895448;0,804359037978149;0,169311249373147;-0,569508769781968;0,750355099621895;0,0276474957957218;0,221997404582362;0,000539733888369286;2,39139558934978e-05;0,000270570614019506;0,00178567020234853;0,323724105220289;0,000187133409290808
"importante";0,415056623082022;-0,858481713847508;0,233729289466716;0,422759239208209;-0,874413407802942;0,238066834982411;0,21075649181226;0,749800261092435;0,0394432470953326;0,000313291410518993;0,00134028108683404;9,93482151261091e-05;0,00181858578211532;0,461143518131664;0,000386728348490257
"américa";-0,298556711890137;-2,00358814990515;-0,571583729155565;-0,141845219887328;-0,951910944783982;-0,271561202670012;0,0246210713376548;0,922119917120783;0,0532590115415475;0,000163568646082364;0,0073665355595253;0,000599523340882716;0,00183504357199872;0,970493445169401;0,00172834960087424
"tipo";-0,0987798615197676;0,472495568950923;0,299395451436416;-0,173901965102761;0,831828539529479;0,527085749530047;0,0392943964191661;0,747664054791474;0,213041548789361;1,8346978333863e-05;0,000419781410284321;0,000168545871183861;0,00188030249417806;0,254168860878705;0,00012147094417128
"pagar";0,791429385938143;0,280995377218818;-0,311600760934032;0,883513007078869;0,313689477687985;-0,347855829202692;0,835898864200805;0,0876284172518945;0,0764727185472737;0,00104115941452349;0,000131247559784616;0,000161394936854446;0,00166223677822305;0,441524232989992;0,000324042501914164
