"";"classe 1";"classe 2";"classe 3";"classe 4"
"andamiaje";15,705;-1,698;-1,378;-3,481
"analfabeto";9,888;-0,122;-1,378;-3,481
"ambición";-3,567;33,002;-1,575;-3,978
"amargura";12,048;-1,94;-1,575;-1,547
"amargo";0,475;-1,698;-0,024;0,294
"almacenamiento";-3,121;-1,698;35,571;-3,481
"alfalfa";-3,121;-1,698;-1,378;14,084
"aislamiento";-0,899;-1,698;3,554;0,294
"aimara";-0,899;19,535;-1,378;-3,481
"agudo";5,42;-2,183;-0,186;-0,49
"aguanté";-3,121;6,311;-1,378;0,294
"agarrá";-2,675;24,75;-1,181;-2,983
"adicto";0,018;-1,455;4,917;-0,74
"acontecer";2,272;0,366;-1,378;-1,13
"aconsejar";1,034;-0,031;-1,181;0
"accidente";-2,675;-0,031;-1,181;6,799
"académico";-1,261;-0,251;19,965;-3,978
"absurdo";0,018;-1,455;-1,181;3,029
"villa";-0,313;-0,405;-0,186;2,028
"varela";-2,229;-1,213;-0,984;10,059
"vara";-0,565;15,561;-1,181;-2,983
"unitario";-2,675;-1,455;30,488;-2,983
"tuyos";-0,565;-1,455;-1,181;6,799
"textil";-3,121;12,013;-1,378;-0,068
"tela";-1,783;16,499;-0,787;-1,989
"tanque";-2,229;-1,213;2,019;1,619
"sólido";2,272;-1,698;-0,024;-0,068
"sustantivar";7,756;-0,031;-1,181;-2,983
"surgimos";13,461;-1,455;-1,181;-2,983
"superficial";-0,275;0,001;0,046;0,104
"sonrisa";-3,121;0,366;-1,378;4,612
"silla";-2,675;-0,031;-1,181;6,799
"sentimental";-2,675;15,561;-1,181;-0,74
"sello";-2,675;-1,455;1,245;3,029
"rumar";-3,121;-0,122;-1,378;8,704
"ritmo";5,41;-1,698;-1,378;-0,068
"rendir";-0,313;-0,405;-1,772;4,545
"reminiscencia";0,018;-1,455;-1,181;3,029
"reencuentro";-2,675;-1,455;0;6,799
"recto";15,705;-1,698;-1,378;-3,481
"recibo";-0,899;0,366;-1,378;1,809
"racionalismo";11,218;-1,213;-0,984;-2,486
"queo";-0,275;1,336;0,046;-0,393
"proteína";-2,675;8,495;1,245;-2,983
"prosperidad";-3,121;-0,122;3,554;0,294
"prolongar";-2,675;8,495;-1,181;0
"preparatorio";-2,229;-1,213;-0,984;10,059
"prehistórico";1,034;3,551;-1,181;-2,983
"pre";-2,229;-1,213;6,903;0,104
"postergar";-0,565;3,551;1,245;-2,983
"porteño";-3,567;-1,94;2,581;3,096
"portal";-3,567;-1,94;40,653;-3,978
"playa";-3,121;-0,122;-1,378;8,704
"pintura";-0,899;-0,122;-1,378;4,612
"pereira";-3,121;-1,698;3,554;1,809
"pequeñez";-0,899;12,013;-1,378;-1,13
"pender";-2,229;-1,213;14,699;-0,393
"pelotón";9,888;-1,698;-1,378;-1,13
"patriarca";-2,229;-1,213;-0,984;10,059
"ordenar";-2,675;0,73;-1,181;3,029
"ocupación";5,668;0,001;-0,984;-2,486
"observador";-2,675;-1,455;1,245;3,029
"neutral";0,018;-1,455;0;0,763
"municipio";-0,899;-1,698;0,749;1,809
"mitología";1,378;4,735;-1,575;-3,978
"mimbre";-3,567;-1,94;-1,575;16,096
"miguel";-0,565;-0,031;-1,181;3,029
"mi_hijo";3,613;-0,031;-1,181;-0,74
"metodología";13,461;-1,455;-1,181;-2,983
"martes";-3,567;-1,94;-1,575;16,096
"lástima";0,167;1,648;-1,575;-0,243
"lucy";-2,229;1,336;-0,984;1,619
"libertarios";-2,675;8,495;0;-0,74
"latente";0,782;-2,183;-0,186;0,513
"ladrillo";5,41;0,366;-1,378;-3,481
"jerarquía";-2,675;-0,031;4,917;0
"irreversible";9,888;-1,698;-0,024;-3,481
"interrogante";2,272;2,429;-1,378;-3,481
"interlocutor";-2,675;-1,455;19,538;-0,74
"intensidad";-2,675;24,75;-1,181;-2,983
"industrializar";-0,275;11,648;-0,984;-2,486
"identificación";-3,121;-0,122;0,749;1,809
"hoyo";-3,121;12,013;-1,378;-0,068
"historiador";-0,899;-1,698;-1,378;8,704
"heroico";-0,565;-0,031;-1,181;3,029
"grey";0,018;8,495;-1,181;-2,983
"gozar";-3,567;4,735;-1,575;1,018
"globalidad";9,302;-0,405;-1,772;-1,981
"germen";0,018;0,73;-1,181;0
"galliano";1,995;0,001;0,046;-2,486
"galeano";-1,261;-1,94;-1,575;10,635
"flexible";7,756;-1,455;0;-2,983
"evidenciar";1,034;3,551;-1,181;-2,983
"evalúa";-0,275;-1,213;14,699;-2,486
"estamento";7,756;-1,455;-1,181;-0,74
"equivalente";15,705;-1,698;-1,378;-3,481
"enfermero";-0,275;11,648;-0,984;-2,486
"dominio";13,461;-1,455;-1,181;-2,983
"diverso";5,41;-1,698;-0,024;-1,13
"disposición";-0,128;-1,94;2,581;0,067
"difícilmente";-0,565;0,73;0;0
"diferenciación";2,272;-0,122;-1,378;-0,068
"desarrollarnos";1,034;3,551;-1,181;-2,983
"có";-0,565;3,551;0;-0,74
"cuerda";0,018;3,551;0;-2,983
"cosechar";1,034;3,551;-1,181;-2,983
"convulsión";13,461;-1,455;-1,181;-2,983
"contras";-0,899;-0,122;-1,378;4,612
"continuo";-0,565;8,495;0;-2,983
"construirse";5,668;0,001;-0,984;-2,486
"construccion|construcción";-3,567;9,413;0,426;-1,547
"consolidar";-0,275;1,336;2,019;-2,486
"confusio";-0,017;-1,698;3,554;-0,068
"colmar";9,888;-0,122;-1,378;-3,481
"civilizatoria";15,705;-1,698;-1,378;-3,481
"celebrar";-1,783;-0,97;9,981;-0,121
"carmelitas";15,705;-1,698;-1,378;-3,481
"capitalización";3,762;-0,251;-0,091;-1,547
"capa";-0,017;12,013;-1,378;-3,481
"canario";-2,675;-1,455;-1,181;12,072
"caballero";-2,675;0,73;-1,181;3,029
"bolich";1,378;-1,94;-1,575;1,018
"barça";-3,567;33,002;-1,575;-3,978
"barquito";0,197;0,001;0,046;-0,393
"aú";2,272;0,366;-1,378;-1,13
"automático";13,461;-1,455;-1,181;-2,983
"atrever";-2,675;-1,455;1,245;3,029
"atraso";5,41;-1,698;-1,378;-0,068
"asignar";-0,565;-0,031;11,014;-2,983
"apariencia";0,018;3,551;0;-2,983
"anti";-3,121;-1,698;24,447;-1,13
"analista";3,613;-1,455;-1,181;0
"alegre";7,756;-0,031;-1,181;-2,983
"zanjar";0,167;-1,94;-1,575;3,096
"vinculación";0,018;-1,455;-1,181;3,029
"vasculitis";11,218;-1,213;-0,984;-2,486
"tropical";-1,261;15,684;-1,575;-1,547
"tranzar";0,018;0,73;-1,181;0
"trampolín";0,197;1,336;-0,984;-0,393
"sudáfrica";-3,567;-1,94;40,653;-3,978
"sudamericano";-2,229;-1,213;25,406;-2,486
"sindicalista";-2,229;-1,213;6,903;0,104
"sexual";-0,565;-0,031;-1,181;3,029
"sendic";-0,565;-1,455;4,917;0
"sartén";-0,565;0,73;-1,181;0,763
"santander";-2,229;-1,213;-0,984;10,059
"residuo";3,613;-1,455;0;-0,74
"reprimiendo";13,461;-1,455;-1,181;-2,983
"rendición";-3,567;-1,94;40,653;-3,978
"recetario";9,888;-1,698;-1,378;-1,13
"recaudación";-0,017;-0,122;8,439;-3,481
"quieto";2,272;2,429;-1,378;-3,481
"queé";-2,675;-1,455;-1,181;12,072
"péndulo";0,018;8,495;-1,181;-2,983
"pudriendo";9,888;-0,122;-1,378;-3,481
"proteccionista";-0,565;-1,455;19,538;-2,983
"prohibirle";-1,261;0,153;-1,575;3,096
"programático";5,41;0,366;-1,378;-3,481
"presumir";-2,229;-1,213;2,019;1,619
"pradera";-2,675;-1,455;-1,181;12,072
"ponerla";1,034;-1,455;-1,181;0,763
"plomo";12,048;-1,94;-1,575;-1,547
"persecución";3,762;-1,94;-0,091;-0,243
"patrono|patrón";-2,675;0,73;-1,181;3,029
"parque";-0,275;-1,213;0,046;1,619
"pamento";-2,675;24,75;-1,181;-2,983
"palacete";-0,899;-1,698;-1,378;8,704
"optimismo";5,668;0,001;-0,984;-2,486
"ocultar";1,378;-1,94;-1,575;1,018
"octubre";-2,675;-1,455;1,245;3,029
"núcleo";-0,565;3,551;-1,181;0
"novio";-2,229;-1,213;2,019;1,619
"nona";-4,013;-2,183;-1,772;18,109
"nervioso";8,974;-0,97;-0,787;-1,989
"municipal";-2,675;-0,031;4,917;0
"monarca";5,41;-1,698;-0,024;-1,13
"migrantes";-0,565;-1,455;4,917;0
"melancólico";3,613;-0,031;-1,181;-0,74
"mejorarse";2,272;2,429;-1,378;-3,481
"med";-0,128;1,648;-1,575;0,067
"mear";-0,064;0,077;-0,787;0,509
"mates";-2,675;-0,031;-1,181;6,799
"masificación";11,218;-1,213;-0,984;-2,486
"marinar";0,018;-1,455;-1,181;3,029
"litro";1,034;-1,455;0;0
"limpio";-2,675;-1,455;30,488;-2,983
"limpiamos";-1,783;0,077;-0,787;3,151
"ligar";-0,899;12,013;-0,024;-3,481
"liga";-3,121;-0,122;-0,024;4,612
"lauda";0,197;0,001;0,046;-0,393
"laburante";1,995;1,336;-0,984;-2,486
"invasión";-2,675;-1,455;0;6,799
"integrante";-3,121;-1,698;-1,378;14,084
"integramos";7,756;-1,455;-1,181;-0,74
"ingenuo";15,705;-1,698;-1,378;-3,481
"idiota";3,613;0,73;-1,181;-2,983
"hueco";-2,675;-0,031;-1,181;6,799
"gobernanza";11,218;-1,213;-0,984;-2,486
"gestar";3,613;-1,455;-1,181;0
"fracturar";0,197;1,336;-0,984;-0,393
"fracasamos";0,689;0,077;0,213;-1,989
"foco";1,034;0,73;0;-2,983
"flagelar";13,461;-1,455;-1,181;-2,983
"exquisito";5,668;-1,213;-0,984;-0,393
"excesivamente";3,613;-0,031;0;-2,983
"enfocar";1,034;-0,031;1,245;-2,983
"emisión";7,756;-1,455;-1,181;-0,74
"embarcar";0,475;-1,698;-1,378;1,809
"ego";-2,675;8,495;0;-0,74
"divertir";-2,229;0,001;-0,984;4,937
"diente";-0,275;5,218;-0,984;-0,393
"desconocer";1,034;-1,455;-1,181;0,763
"deriva";-2,675;-0,031;4,917;0
"deportivo";-0,128;-0,251;0,426;0,067
"cúmulo";11,218;-1,213;-0,984;-2,486
"cuna";-0,565;15,561;-1,181;-2,983
"cultivarlo";-2,675;24,75;-1,181;-2,983
"cristianismo";13,461;-1,455;-1,181;-2,983
"coordinación";-0,565;-1,455;0;3,029
"conversión";-0,899;-1,698;3,554;0,294
"confesar";1,034;-0,031;1,245;-2,983
"condicionar";-0,565;8,495;0;-2,983
"chisme";-0,275;-1,213;0,046;1,619
"chapa";-3,121;6,311;-1,378;0,294
"celda";-2,675;-0,031;1,245;0,763
"caño";-0,899;-1,698;-1,378;8,704
"castrar";-2,675;-1,455;11,014;0
"casino";-1,337;-0,727;0,623;1,515
"canadá";-0,017;-1,698;15,403;-3,481
"camión";-1,261;-1,94;-1,575;10,635
"calificación";11,218;-1,213;-0,984;-2,486
"brin";-2,675;-0,031;-1,181;6,799
"beso";-2,675;15,561;-1,181;-0,74
"barbarie";5,668;-1,213;0,046;-2,486
"bagatela";7,756;-0,031;-1,181;-2,983
"aristocracia";1,034;-1,455;-1,181;0,763
"apartar";3,613;-1,455;-1,181;0
"anuncio";0,018;-0,031;1,245;-0,74
"alivio";-3,121;2,429;-1,378;1,809
"afrontar";-2,675;8,495;0;-0,74
"advertencia";-2,675;-1,455;0;6,799
"acusación";-2,675;-1,455;19,538;-0,74
"achacar";3,613;0,73;-1,181;-2,983
"acercamiento";9,888;-1,698;-1,378;-1,13
"acceder";-2,229;0,001;14,699;-2,486
"abrazamos";-2,675;3,551;0;0
"ángulo";-2,229;-1,213;-0,984;10,059
"zorro";0,197;0,001;-0,984;0,104
"xxi";-3,567;-0,251;-1,575;10,635
"volv";-3,121;6,311;-1,378;0,294
"vitalidad";-2,229;0,001;-0,984;4,937
"violación";-0,565;-1,455;19,538;-2,983
"vigilar";0,018;3,551;-1,181;-0,74
"vidriera";8,974;-0,97;-0,787;-1,989
"vicepresidencia";-2,675;-1,455;11,014;0
"vergüenzas";13,461;-1,455;-1,181;-2,983
"venidas";3,659;0,077;-0,787;-1,989
"vendedor";1,034;-1,455;0;0
"velar";-0,899;19,535;-1,378;-3,481
"vegetativa";-1,783;16,499;-0,787;-1,989
"vastísimo";8,974;-0,97;-0,787;-1,989
"vanguardia";13,461;-1,455;-1,181;-2,983
"uh";-1,337;-0,727;5,507;0
"turno";0,197;-1,213;-0,984;1,619
"transformador";0,689;-0,97;-0,787;0,509
"trama";-2,675;-1,455;-1,181;12,072
"toro";-0,899;2,429;-1,378;0,294
"tormenta";0,197;0,001;-0,984;0,104
"tobillo";-1,337;-0,727;-0,591;6,035
"tipa";-2,675;8,495;-1,181;0
"tio";-1,783;16,499;-0,787;-1,989
"tiendo";0,018;8,495;-1,181;-2,983
"tesis";-3,121;-1,698;15,403;-0,068
"territorial";-0,565;-1,455;4,917;0
"teleteatro";-2,229;-1,213;0,046;4,937
"telefonito";-0,275;-1,213;-0,984;4,937
"tele";-1,783;0,077;-0,787;3,151
"taxi";-1,783;-0,97;-0,787;8,047
"tapón";0,009;-0,727;5,507;-1,491
"suyas";-2,229;-1,213;0,046;4,937
"sustentar";-2,229;-1,213;0,046;4,937
"sustancia";0,689;0,077;0,213;-1,989
"suquino";-1,783;-0,97;-0,787;8,047
"sumir";7,756;-0,031;-1,181;-2,983
"sua";-2,229;-1,213;14,699;-0,393
"staff";6,73;-0,727;-0,591;-1,491
"soñadores";-0,275;1,336;-0,984;0,104
"soñabas";-2,229;-1,213;2,019;1,619
"soñaban";-2,229;20,624;-0,984;-2,486
"soplar";-2,229;-1,213;-0,984;10,059
"som";1,995;1,336;-0,984;-2,486
"socorro";-1,337;-0,727;-0,591;6,035
"sociólogo";11,218;-1,213;-0,984;-2,486
"sociológico";13,461;-1,455;-1,181;-2,983
"sir";-3,121;28,876;-1,378;-3,481
"sinónimo";0,197;-1,213;2,019;-0,393
"sinvergüenza";-0,064;7,841;-0,787;-1,989
"similitudes";-1,783;2,367;0,213;-0,121
"severo";-1,642;19,456;-0,186;-4,475
"serlo";5,668;-1,213;0,046;-2,486
"sentías";-2,229;1,336;0,046;0,104
"sentencia";-2,229;-1,213;-0,984;10,059
"secolla";-1,783;-0,97;-0,787;8,047
"saquear";5,668;0,001;-0,984;-2,486
"salvame";-1,337;-0,727;0,623;1,515
"saludarlos";-2,229;-1,213;-0,984;10,059
"sagrado";3,762;0,153;-0,091;-3,978
"rédito";3,613;0,73;-1,181;-2,983
"rumiante";1,806;0,365;-0,591;-1,491
"rompí";-0,565;3,551;-1,181;0
"romeo";-2,675;-1,455;-1,181;12,072
"robots";7,756;-1,455;-1,181;-0,74
"roble";-1,783;0,077;-0,787;3,151
"riguroso";-2,675;0,73;1,245;0
"ricardo";-2,675;-1,455;0;6,799
"revienta";0,689;0,077;-0,787;-0,121
"retomar";3,613;-1,455;-1,181;0
"restricción";5,668;-1,213;-0,984;-0,393
"resolución";-0,064;-0,97;-0,787;3,151
"republica";-0,064;-0,97;9,981;-1,989
"rentista";2,272;-1,698;-0,024;-0,068
"rentar";-1,783;-0,97;0,213;3,151
"rentable";11,218;-1,213;-0,984;-2,486
"reminiscencias";0,197;-1,213;-0,984;1,619
"reivindicación";-2,229;-1,213;-0,984;10,059
"reina";-0,565;-0,031;1,245;0
"reelección";-2,675;-1,455;30,488;-2,983
"reciclaje";8,974;-0,97;-0,787;-1,989
"re";-2,229;-1,213;0,046;4,937
"raúl";-2,675;-1,455;11,014;0
"razonable";-2,229;-1,213;25,406;-2,486
"raquel";-0,064;-0,97;-0,787;3,151
"ramo";-2,675;-1,455;11,014;0
"ración";-2,675;-1,455;1,245;3,029
"quincho";-3,121;-1,698;-1,378;14,084
"quimera";-0,275;5,218;-0,984;-0,393
"pólvora";-0,064;-0,97;0,213;0,509
"publicación";-0,275;0,001;0,046;0,104
"príncipe";-0,565;-0,031;0;0,763
"proteger";-0,064;0,077;0,213;-0,121
"prosperar";-2,229;-1,213;14,699;-0,393
"proletarios";0,197;0,001;-0,984;0,104
"progresivo";0,197;-1,213;0,046;0,104
"programática";8,974;-0,97;-0,787;-1,989
"profeta";0,689;-0,97;3,278;-1,989
"priorizar";0,018;-0,031;1,245;-0,74
"primitivismo";13,461;-1,455;-1,181;-2,983
"previo";-0,275;0,001;2,019;-0,393
"pretensión";-1,783;-0,97;0,213;3,151
"practicándolo";0,009;4,247;-0,591;-1,491
"power";-1,783;-0,97;20,324;-1,989
"potente";0,197;0,001;-0,984;0,104
"porcentaje";-2,675;-1,455;19,538;-0,74
"popularidad";-1,783;-0,97;20,324;-1,989
"poníamos";-1,783;-0,97;-0,787;8,047
"ponés";-2,675;0,73;-1,181;3,029
"polis";0,197;1,336;0,046;-2,486
"point";-2,229;-1,213;14,699;-0,393
"poblar";-2,229;-1,213;2,019;1,619
"plomada";0,689;0,077;-0,787;-0,121
"plantón";-2,229;-1,213;-0,984;10,059
"planteos";-2,229;-1,213;14,699;-0,393
"planchada";-2,675;-0,031;-1,181;6,799
"piñera";-2,229;-1,213;0,046;4,937
"pitucos";0,018;-0,031;-1,181;0,763
"pista";-0,275;-1,213;0,046;1,619
"pirámide";0,018;-1,455;-1,181;3,029
"piojo";0,018;-0,031;-1,181;0,763
"pillar";-2,229;-1,213;-0,984;10,059
"piecitas";-2,675;-0,031;-1,181;6,799
"picketti";-2,229;-1,213;-0,984;10,059
"peruano";-2,229;-1,213;-0,984;10,059
"pertenencia";0,689;0,077;-0,787;-0,121
"penuria";-0,899;0,366;-0,024;0,294
"pelearla";-2,229;20,624;-0,984;-2,486
"pasivo";0,018;8,495;-1,181;-2,983
"pasear";-2,229;-1,213;0,046;4,937
"pasarse";1,995;0,001;-0,984;-0,393
"pantalón";-0,064;0,077;-0,787;0,509
"panadero";-2,229;-1,213;-0,984;10,059
"pacto";-2,229;-1,213;14,699;-0,393
"otá";8,974;-0,97;-0,787;-1,989
"otorgar";-0,064;-0,97;9,981;-1,989
"opuesto";0,197;-1,213;2,019;-0,393
"oppenheimer";-2,229;-1,213;2,019;1,619
"opp";-0,565;-0,031;1,245;0
"oficialismo";-1,783;0,077;3,278;-0,121
"odone";-0,565;-1,455;1,245;0,763
"obrador";-0,017;-0,122;8,439;-3,481
"obligatorio";-0,275;0,001;2,019;-0,393
"negación";-1,783;7,841;-0,787;-0,121
"nave";-0,899;-0,122;-1,378;4,612
"nariz";0,018;-1,455;-1,181;3,029
"naciente";3,613;-1,455;-1,181;0
"médicamente";-0,565;-1,455;19,538;-2,983
"mutuo";15,705;-1,698;-1,378;-3,481
"mutuamente";0,018;3,551;-1,181;-0,74
"mussolini";0,475;-1,698;-1,378;1,809
"musical";-1,783;0,077;0,213;0,509
"meramente";5,668;0,001;-0,984;-2,486
"melancolía";1,034;-0,031;-1,181;0
"masificando";3,613;-0,031;0;-2,983
"marido";1,806;-0,727;-0,591;0
"manifestarnos";8,974;-0,97;-0,787;-1,989
"madurez";3,659;-0,97;-0,787;-0,121
"machado";-2,229;0,001;-0,984;4,937
"lorenzo";-0,064;-0,97;3,278;-0,121
"londres";-1,783;-0,97;-0,787;8,047
"llanura";-2,229;-1,213;2,019;1,619
"llamada";-2,675;0,73;11,014;-2,983
"licencia";0,018;-0,031;1,245;-0,74
"libia";-0,064;7,841;-0,787;-1,989
"lejano";0,689;0,077;0,213;-1,989
"legalidad";-0,064;-0,97;-0,787;3,151
"lechería";-2,229;-1,213;-0,984;10,059
"leal";-2,229;0,001;2,019;0,104
"laurel";-1,783;-0,97;-0,787;8,047
"lago";-0,565;-1,455;0;3,029
"ladera";-3,121;6,311;-1,378;0,294
"kirchner";-2,675;-1,455;30,488;-2,983
"junos";0,197;0,001;-0,984;0,104
"judicial";-2,675;-0,031;19,538;-2,983
"jornal";-1,783;-0,97;20,324;-1,989
"jaula";-2,675;-1,455;-1,181;12,072
"interrumpir";-1,783;-0,97;20,324;-1,989
"internado";-0,064;-0,97;3,278;-0,121
"interminable";-1,783;0,077;0,213;0,509
"intermedio";0,018;-0,031;-1,181;0,763
"instruir";8,974;-0,97;-0,787;-1,989
"ingenuidad";0,018;0,73;-1,181;0
"inflacionario";3,613;-1,455;0;-0,74
"infame";2,272;-1,698;-0,024;-0,068
"indigencia";0,018;-0,031;1,245;-0,74
"indicio";0,197;-1,213;2,019;-0,393
"incómodo";-0,565;-1,455;0;3,029
"inclinar";3,613;-0,031;0;-2,983
"implementación";-3,121;-1,698;35,571;-3,481
"imperioso";-2,675;8,495;1,245;-2,983
"imitar";-2,229;-1,213;2,019;1,619
"idiosincrasia";-1,783;-0,97;20,324;-1,989
"homicidio";-2,229;-1,213;25,406;-2,486
"hiz";-1,783;-0,97;3,278;0,509
"hiperconsumo";-0,064;7,841;-0,787;-1,989
"hierba";-0,064;-0,97;0,213;0,509
"heterodoxia";11,218;-1,213;-0,984;-2,486
"herrerismo";-2,229;0,001;6,903;-0,393
"hermosura";-1,783;16,499;-0,787;-1,989
"heredero";-1,337;-0,727;0,623;1,515
"haití";0,197;-1,213;2,019;-0,393
"habilidad";-2,229;0,001;-0,984;4,937
"gómez";-2,675;-1,455;0;6,799
"guía";1,034;0,73;-1,181;-0,74
"gusano";-1,783;16,499;-0,787;-1,989
"gurises";-0,565;-1,455;-1,181;6,799
"gurilles";-2,229;-1,213;-0,984;10,059
"guevara";11,218;-1,213;-0,984;-2,486
"guantánamo";0,197;-1,213;0,046;0,104
"gremial";-2,229;-1,213;6,903;0,104
"goyete";-1,783;-0,97;0,213;3,151
"goma";-1,783;-0,97;-0,787;8,047
"golpista";-0,064;-0,97;3,278;-0,121
"globalizar";-0,064;7,841;-0,787;-1,989
"globalizada";11,218;-1,213;-0,984;-2,486
"gigante";0,197;-1,213;2,019;-0,393
"geopolítico";-2,229;-1,213;25,406;-2,486
"geografía";-1,783;-0,97;9,981;-0,121
"generamos";11,218;-1,213;-0,984;-2,486
"garra";-3,121;-1,698;-1,378;14,084
"ganador";0,689;-0,97;0,213;-0,121
"gallinero";7,756;-1,455;-1,181;-0,74
"félix";-2,675;-1,455;30,488;-2,983
"furioso";-1,337;-0,727;0,623;1,515
"friedman";-1,783;-0,97;9,981;-0,121
"frecuencia";-2,675;-0,031;4,917;0
"fracción";-2,229;11,648;0,046;-2,486
"fortalecer";0,689;0,077;0,213;-1,989
"forestación";7,756;-1,455;-1,181;-0,74
"flujo";3,613;-1,455;1,245;-2,983
"financiación";-0,565;-0,031;4,917;-0,74
"fiera";1,995;1,336;-0,984;-2,486
"fiebre";-1,783;16,499;-0,787;-1,989
"ficha";-1,337;-0,727;-0,591;6,035
"federación";-2,229;-1,213;0,046;4,937
"fase";1,995;-1,213;0,046;-0,393
"farol";-2,675;-1,455;-1,181;12,072
"factura";-2,229;-1,213;14,699;-0,393
"exótico";-2,229;-1,213;2,019;1,619
"exponencial";3,659;-0,97;0,213;-1,989
"explosivo";0,197;-1,213;6,903;-2,486
"eternas";-2,675;24,75;-1,181;-2,983
"estúpida";5,668;-1,213;0,046;-2,486
"estético";5,668;-1,213;-0,984;-0,393
"estático";-0,017;-0,122;-1,378;1,809
"estoicos";-0,275;-1,213;-0,984;4,937
"estatal";0,689;0,077;0,213;-1,989
"estancia";-2,229;-1,213;-0,984;10,059
"estabilizar";0,689;-0,97;0,213;-0,121
"escúcheme";-1,783;-0,97;-0,787;8,047
"escucharla";-2,675;-0,031;-1,181;6,799
"esclavizar";1,995;1,336;-0,984;-2,486
"equiparar";1,995;1,336;-0,984;-2,486
"entretiene";-0,275;5,218;-0,984;-0,393
"entretenimiento";-0,064;2,367;-0,787;-0,121
"entidad";-2,229;-1,213;0,046;4,937
"entenderse";0,018;-0,031;-1,181;0,763
"ensayar";-2,229;-1,213;2,019;1,619
"encontrarse";-2,675;-1,455;0;6,799
"encarcelar";0,689;-0,97;-0,787;0,509
"emprender";0,689;-0,97;-0,787;0,509
"empantanar";-1,337;-0,727;5,507;0
"emergente";3,762;-1,94;-0,091;-0,243
"electrónico";-1,783;0,077;3,278;-0,121
"educaban";0,689;2,367;-0,787;-1,989
"editorial";-1,783;-0,97;-0,787;8,047
"ed";-2,675;-1,455;-1,181;12,072
"duplicar";-0,275;-1,213;14,699;-2,486
"dormitorio";-1,783;-0,97;-0,787;8,047
"dominante";8,974;-0,97;-0,787;-1,989
"documental";-1,783;-0,97;0,213;3,151
"doctrina";5,41;-1,698;-1,378;-0,068
"distinción";5,668;0,001;-0,984;-2,486
"disputar";2,272;-1,698;0,749;-1,13
"diplomático";3,613;-1,455;0;-0,74
"diego";-0,064;-0,97;0,213;0,509
"diabólico";3,613;-1,455;1,245;-2,983
"devoción";-1,783;16,499;-0,787;-1,989
"desventaja";-1,783;16,499;-0,787;-1,989
"despoblado";11,218;-1,213;-0,984;-2,486
"desplazar";0,689;-0,97;0,213;-0,121
"despierto";-2,229;-1,213;-0,984;10,059
"deshacer";-2,229;20,624;-0,984;-2,486
"descuidar";-0,275;0,001;2,019;-0,393
"descansar";-0,275;1,336;0,046;-0,393
"derramar";0,475;-0,122;3,554;-3,481
"depredador";-0,565;-0,031;-1,181;3,029
"denunciar";-0,275;-1,213;6,903;-0,393
"denominar";-2,675;-1,455;30,488;-2,983
"dems";-0,017;-0,122;-1,378;1,809
"deliberadamente";3,613;-1,455;0;-0,74
"dej";-0,064;0,077;-0,787;0,509
"definiría";-2,229;-1,213;6,903;0,104
"decencia";-1,783;16,499;-0,787;-1,989
"dea";-2,229;-1,213;25,406;-2,486
"david";-0,899;-1,698;-0,024;4,612
"cénica";-0,565;15,561;-1,181;-2,983
"custodiar";-2,675;-1,455;-1,181;12,072
"cueva";-3,121;6,311;-0,024;-0,068
"cuenca";-0,565;-1,455;1,245;0,763
"cuasi";-0,275;5,218;-0,984;-0,393
"cuarentena";-1,783;-0,97;9,981;-0,121
"cuadrar";-0,899;-1,698;-1,378;8,704
"cremita";-1,783;2,367;-0,787;0,509
"corresponsal";-1,783;-0,97;-0,787;8,047
"corralito";-2,675;-1,455;-1,181;12,072
"coronel";-2,675;-1,455;19,538;-0,74
"copiar";3,613;0,73;-1,181;-2,983
"controversia";1,995;-1,213;0,046;-0,393
"contenedor";3,659;-0,97;0,213;-1,989
"cont";-3,567;9,413;-1,575;0,067
"consejero";-0,064;-0,97;0,213;0,509
"cono";-2,229;-1,213;2,019;1,619
"comprensión";0,689;0,077;-0,787;-0,121
"composición";3,613;0,73;-1,181;-2,983
"comportamiento";7,756;-0,031;-1,181;-2,983
"complicación";-2,229;20,624;-0,984;-2,486
"compensación";0,689;0,077;-0,787;-0,121
"comparable";-1,783;-0,97;0,213;3,151
"comisionar";-1,783;-0,97;0,213;3,151
"comilla";0,689;0,077;0,213;-1,989
"comerciante";1,995;-1,213;0,046;-0,393
"comedor";-0,899;-0,122;-1,378;4,612
"combustión";1,995;-1,213;-0,984;0,104
"coloso";6,73;-0,727;-0,591;-1,491
"colosal";1,806;0,365;-0,591;-1,491
"cobro";-2,675;-0,031;1,245;0,763
"cobarde";0,475;-1,698;3,554;-1,13
"clientelismo";13,461;-1,455;-1,181;-2,983
"clamar";-0,565;-1,455;1,245;0,763
"cipriani";-1,783;-0,97;-0,787;8,047
"cervantes";-2,675;-1,455;-1,181;12,072
"certidumbre";-1,783;-0,97;9,981;-0,121
"ceremonia";-2,229;-1,213;-0,984;10,059
"celac";-2,229;-1,213;25,406;-2,486
"ceder";0,197;0,001;-0,984;0,104
"cascarón";-1,783;7,841;-0,787;-0,121
"cartagena";-2,229;-1,213;2,019;1,619
"carcelario";0,197;0,001;-0,984;0,104
"capa|capilla";-0,064;-0,97;0,213;0,509
"cap";-1,783;-0,97;20,324;-1,989
"campana";-0,565;-0,031;1,245;0
"camiseta";-1,783;-0,97;-0,787;8,047
