ambientalismo	12
feminismos	3
patriarcales	18
tradición	180
deuda|deudo	185
salarial	26
tarea	109
feminista	23
complementario	31
desastroso	6
suponer	107
vegetativa	12
dedo	27
clavar	45
femenino	49
mortificar	7
postergar	14
patriarcado	16
mandato	41
antiuado	3
marcar	90
cuasi	12
teros	9
apichonado	3
afanosos	3
espectáculo	49
misedad	3
modo	107
opulentas	3
ambientalista	3
adoptar	55
comprador	73
fenomenal	44
arreglar	334
película	140
chaplin	8
vidrio	16
remendándolo	3
frase	102
extranjero	69
discúlpemme	3
imitar	12
pareja	54
shopping	21
salar|salir	77
pasear	12
defensor	24
encíclica	3
papa	109
laudato	3
creyente	51
católico	80
